City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ponta do sol,32.6667,-17.1,65.71,74,100,1.86,PT,1670286841
1,mitsamiouli,-11.3847,43.2844,79.3,81,45,10.02,KM,1670286841
2,vaini,-21.2,-175.2,82.56,78,75,12.66,TO,1670286841
3,bambous virieux,-20.3428,57.7575,75.45,83,75,10.36,MU,1670286842
4,port macquarie,-31.4333,152.9167,75.33,66,15,18.34,AU,1670286842
5,ushuaia,-54.8,-68.3,46.02,53,75,19.57,AR,1670286842
6,tortoli,39.9256,9.6572,58.82,88,0,5.75,IT,1670286843
7,vila velha,-20.3297,-40.2925,73.94,90,75,3.44,BR,1670286672
8,mataura,-46.1927,168.8643,50.49,44,27,5.66,NZ,1670286843
9,luanda,-8.8368,13.2343,78.8,83,20,6.91,AO,1670286670
10,broken hill,-31.95,141.4333,73.47,27,92,3.11,AU,1670286844
11,bredasdorp,-34.5322,20.0403,57.02,72,97,3.02,ZA,1670286844
12,carutapera,-1.195,-46.02,78.67,82,80,7.81,BR,1670286844
13,san patricio,28.017,-97.5169,74.53,86,46,12.57,US,1670286845
14,punta arenas,-53.15,-70.9167,44.71,53,40,12.66,CL,1670286845
15,kahului,20.8947,-156.47,84.22,69,20,10.36,US,1670286810
16,tuatapere,-46.1333,167.6833,53.78,59,55,6.73,NZ,1670286680
17,goderich,43.7501,-81.7165,39.52,48,100,10.36,CA,1670286846
18,hobart,-42.8794,147.3294,60.06,62,75,14.97,AU,1670286604
19,hermanus,-34.4187,19.2345,59.45,70,92,2.28,ZA,1670286846
20,hithadhoo,-0.6,73.0833,81.1,75,100,8.46,MV,1670286847
21,kununurra,-15.7667,128.7333,89.58,70,65,6.91,AU,1670286549
22,yuanping,38.7153,112.7575,24.21,36,0,2.55,CN,1670286847
23,hofn,64.2539,-15.2082,34.9,69,47,9.1,IS,1670286847
24,mar del plata,-38.0023,-57.5575,75.22,84,0,18.01,AR,1670286848
25,butaritari,3.0707,172.7902,80.82,81,100,15.86,KI,1670286848
26,albany,42.6001,-73.9662,39.61,56,96,5.35,US,1670286768
27,mahebourg,-20.4081,57.7,75.49,83,75,10.36,MU,1670286619
28,inirida,3.8653,-67.9239,74.57,93,74,2.01,CO,1670286849
29,zakamensk,50.3741,103.2863,-12.87,95,87,3.96,RU,1670286849
30,rikitea,-23.1203,-134.9692,75.09,81,100,13.65,PF,1670286849
31,jamestown,42.097,-79.2353,44.19,30,0,9.22,US,1670286790
32,tomatlan,19.9333,-105.25,73.87,86,5,2.46,MX,1670286850
33,pincher creek,49.4833,-113.952,23.16,87,100,3.44,CA,1670286850
34,geraldton,-28.7667,114.6,73.81,56,0,16.11,AU,1670286681
35,bengkulu,-3.8004,102.2655,76.95,86,100,1.99,ID,1670286851
36,chuy,-33.6971,-53.4616,64.4,94,0,6.67,UY,1670286851
37,cap malheureux,-19.9842,57.6142,73.47,81,100,1.99,MU,1670286669
38,georgetown,5.4112,100.3354,81.23,90,20,2.3,MY,1670286613
39,thompson,55.7435,-97.8558,-23.64,69,0,6.91,CA,1670286642
40,imeni poliny osipenko,52.4201,136.4853,2.03,86,100,9.73,RU,1670286852
41,dikson,73.5069,80.5464,22.33,96,100,12.24,RU,1670286852
42,arraial do cabo,-22.9661,-42.0278,73.63,89,100,22.95,BR,1670286853
43,cayenne,4.9333,-52.3333,77.04,94,0,1.14,GF,1670286853
44,bluff,-46.6,168.3333,50.81,54,13,6.04,NZ,1670286853
45,provideniya,64.3833,-173.3,32.36,93,100,38.03,RU,1670286854
46,nanortalik,60.1432,-45.2371,34.81,78,100,15.84,GL,1670286854
47,carnarvon,-24.8667,113.6333,72.75,64,47,15.7,AU,1670286854
48,cape town,-33.9258,18.4232,63.01,69,20,12.66,ZA,1670286711
49,malanje,-9.5402,16.341,61.83,98,91,2.84,AO,1670286855
50,alta floresta,-9.8756,-56.0861,69.89,99,96,2.66,BR,1670286855
51,bethel,41.3712,-73.414,43.65,69,0,0.0,US,1670286856
52,cochrane,51.1834,-114.4687,9.75,72,100,12.66,CA,1670286856
53,comodoro rivadavia,-45.8667,-67.5,69.66,30,0,27.63,AR,1670286856
54,busselton,-33.65,115.3333,66.83,44,0,12.68,AU,1670286857
55,alekseyevsk,57.8406,108.3492,11.93,93,100,11.14,RU,1670286857
56,yumen,40.2833,97.2,13.55,89,98,1.74,CN,1670286857
57,olinda,-8.0089,-34.8553,78.53,78,75,10.36,BR,1670286586
58,nova olinda do norte,-3.8881,-59.0942,73.81,89,70,2.98,BR,1670286858
59,atuona,-9.8,-139.0333,77.65,74,41,14.52,PF,1670286858
60,port alfred,-33.5906,26.891,57.18,95,100,4.0,ZA,1670286858
61,praia da vitoria,38.7333,-27.0667,62.76,88,75,18.45,PT,1670286859
62,nemuro,43.3236,145.575,30.25,49,0,8.59,JP,1670286859
63,vardo,70.3705,31.1107,26.58,93,100,13.8,NO,1670286859
64,upington,-28.4478,21.2561,61.18,39,0,3.44,ZA,1670286625
65,narsaq,60.9167,-46.05,26.22,70,97,12.64,GL,1670286860
66,manzhouli,49.6,117.4333,9.72,82,100,19.66,CN,1670286860
67,qaanaaq,77.484,-69.3632,33.93,73,100,16.06,GL,1670286860
68,sao filipe,14.8961,-24.4956,72.54,67,25,3.94,CV,1670286861
69,new norfolk,-42.7826,147.0587,60.71,48,37,4.0,AU,1670286861
70,itaituba,-4.2761,-55.9836,74.98,93,99,0.92,BR,1670286861
71,oktyabrskoye,43.0645,44.7417,24.94,100,87,11.18,RU,1670286862
72,cabo san lucas,22.8909,-109.9124,82.71,59,0,6.91,MX,1670286862
73,vysokogornyy,50.1167,139.15,3.18,84,100,13.22,RU,1670286863
74,sept-iles,50.2001,-66.3821,34.32,76,100,10.36,CA,1670286662
75,port lincoln,-34.7333,135.8667,64.47,61,100,11.48,AU,1670286863
76,nome,64.5011,-165.4064,30.27,80,75,19.57,US,1670286863
77,khatanga,71.9667,102.5,-15.61,92,100,9.37,RU,1670286630
78,lata,40.1629,-8.3327,53.08,92,100,1.9,PT,1670286864
79,fortuna,40.5982,-124.1573,51.66,87,100,0.0,US,1670286864
80,asfi,32.2994,-9.2372,63.57,85,100,13.69,MA,1670286865
81,saint anthony,45.0205,-93.218,25.21,71,100,12.66,US,1670286825
82,matiguas,12.8373,-85.4622,69.26,92,7,4.72,NI,1670286865
83,la ronge,55.1001,-105.2842,-14.58,76,75,2.3,CA,1670286866
84,halden,59.1226,11.3871,25.63,80,100,3.29,NO,1670286866
85,barrow,71.2906,-156.7887,26.62,74,40,27.63,US,1670286866
